X02152_at,M14328_s_at,J03909_at,X56494_at,L17131_rna1_at,M57710_at,HG1980-HT2023_at,M63138_at,HG417-HT417_s_at,HG2279-HT2375_at,D82348_at,M22382_at,M20471_at,J04173_at,U28386_at,X62078_at,X12447_at,L33842_rna1_at,L02426_at,X17620_at,D79997_at,D55716_at,X16396_at,V00594_s_at,X17567_s_at,HG4074-HT4344_at,X67951_at,L19686_rna1_at,M25753_at,X15183_at,U29680_at,J02783_at,D43950_at,U14518_at,U12595_at,J04988_at,D45248_at,D13633_at,L25876_at,X74801_at,U40369_rna1_at,X01060_at,U53347_at,X69433_at,D25328_at,Z21966_at,X03689_s_at,U81375_at,X59834_at,M16591_s_at,M19645_at,U09587_at,L19437_at,X16983_at,U24577_at,M63835_at,X14850_at,M75715_s_at,X76534_at,J03077_s_at,M86699_at,Z50115_s_at,D38048_at,HG4716-HT5158_at,U59309_at,M13792_at,M22760_at,D31887_at,U78525_at,X52851_rna1_at,X59543_at,M15205_at,K03515_at,U23143_at,M12529_at,D38553_at,U24169_at,U86602_at,M94856_at,X70649_at,M95623_cds1_at,D31890_at,M29536_at,Z11793_at,X67155_at,U79254_at,D14657_at,J04611_at,J02645_at,D26599_at,AB002409_at,M31642_at,U22055_at,U62293_rna1_s_at,D38073_at,L06419_at,D84557_at,K03430_at,U51478_at,M60858_rna1_at,class
1.0892,0.5751,0.2864,0.2385,-0.4566,1.2701,-0.273,-0.2841,-0.13,0.6319,-0.5136,-0.2422,-0.5048,0.6873,-0.2319,-0.5026,-0.0665,-1.0204,0.1343,0.1037,0.0501,-0.536,0.9896,0.3048,0.1221,0.1987,0.1897,1.1113,0.2005,0.401,2.1234,-0.5782,-0.501,0.5443,-0.4387,-0.2594,-0.5487,0.8442,0.9233,-0.4733,-0.1178,0.55,-1.0929,0.2662,0.349,0.3288,0.5073,-0.2748,-0.1517,-0.5711,-0.5974,-0.3958,-0.086,-0.5669,-0.138,-0.1816,0.1028,0.2369,-0.2455,-0.5941,0.0956,0.0069,-0.4157,-0.2748,-0.2458,0.4816,0.027,0.4133,-0.5535,0.3641,-0.0909,0.0458,-0.2551,-0.0021,0.1756,0.3431,-0.1664,-0.0519,0.7719,-0.3159,0.0121,-0.4285,0.6868,-0.9025,-0.2778,-0.7825,1.2221,-0.4566,0.3524,-0.002,-0.6026,0.2026,-0.7239,-0.3014,-0.509,0.3746,-0.672,-0.4045,-0.3394,-0.3852,DLBCL
0.6969,0.6552,1.1359,1.0556,1.1669,1.7665,0.7503,1.9918,1.469,0.9211,0.5995,-0.011,1.0909,0.1818,0.8908,0.7592,1.8896,-0.407,0.6394,-0.3357,0.1282,0.1425,0.551,1.8133,0.4481,-0.0907,0.9709,0.8101,-0.2655,0.4022,0.8183,2.2945,-0.1072,-0.3704,0.7371,0.9766,1.0639,-0.3512,-0.698,0.6915,2.7113,-0.6058,0.8989,1.5665,1.2668,-0.7861,-1.8261,1.5256,1.7205,0.3915,-0.0366,0.5094,1.5566,-0.8408,1.4383,1.2976,0.7056,0.3026,0.5173,1.8452,-0.3405,0.8286,0.374,-0.5717,1.3565,0.4254,0.6666,1.8268,0.6325,-0.3554,0.453,-0.2723,-0.4416,-0.3301,2.4994,-0.1357,0.4951,0.2619,-0.8274,0.5745,1.0666,0.8684,0.4136,0.8021,-0.9612,0.659,-0.7424,0.5699,0.3176,-0.0574,-0.5115,0.2673,0.6497,1.1678,0.2233,2.288,0.281,0.8359,-0.346,0.6061,DLBCL
0.7135,0.7295,0.6743,1.0978,0.8321,1.6699,1.3541,1.4918,1.8897,0.5514,0.8501,0.6401,1.6305,0.5297,0.9921,2.168,0.794,0.5708,0.503,-0.1085,0.4817,-0.1467,1.4463,1.4421,0.9198,0.1332,1.8137,0.5162,0.5659,0.5566,0.8497,0.8901,0.5337,0.8272,0.2194,0.501,1.0014,1.9668,1.1456,0.04,1.3241,1.54,1.697,0.286,0.2724,-1.025,-0.5517,2.4172,2.5178,1.1065,0.7033,0.7863,0.4254,-0.6765,3.5278,2.2531,0.675,0.6526,3.1788,1.0886,0.6771,0.348,0.0397,0.6771,1.1976,1.2916,0.2196,1.6689,0.1603,0.6663,0.3113,0.0292,1.1759,0.5652,1.5101,1.1121,0.1968,0.411,0.2262,1.4866,0.0587,0.7762,1.3886,-0.43,0.7527,0.9804,-0.0611,0.1452,0.8406,1.1969,-0.4922,1.1722,0.9088,0.5866,0.123,0.6454,0.6955,1.8993,1.1131,0.7545,DLBCL
0.1799,1.4979,1.1819,0.7952,-0.6233,0.915,1.035,1.2481,0.464,-0.2269,0.5603,0.2629,0.9432,0.9718,-0.3198,0.684,0.4634,-0.5002,1.6968,0.4148,-0.0219,-0.4542,-0.1831,2.5311,0.3115,-0.1063,0.134,0.6175,-0.292,-0.3538,-0.1653,0.9555,0.0757,-0.4715,0.2885,-0.1876,1.109,0.1699,-0.8446,-0.4899,0.8405,-0.5444,1.4707,-0.417,0.6192,-1.1909,-1.5133,-0.152,1.1693,0.1674,0.2115,-0.2651,0.1946,-1.3428,1.5477,0.5067,0.7181,0.2807,0.5874,1.6867,0.5705,0.3878,0.0884,-0.1718,0.0402,-0.7173,-0.5823,-0.2762,-0.2443,0.461,-0.126,-0.0274,-0.141,-0.6045,1.7989,0.3528,-0.6623,-0.2687,0.3198,-0.1015,0.8191,0.1488,0.0433,-0.288,-0.1477,0.4757,-0.0132,0.3435,0.4321,-0.1749,-0.5653,0.1295,0.0917,1.0894,0.0217,1.0666,-0.1018,-0.2457,-0.3184,-0.1023,DLBCL
1.8361,0.4157,-1.2001,-0.4629,-0.5948,-0.1602,0.1624,-0.9257,-0.1755,-0.4481,0.8506,3.0208,0.9271,1.1328,0.7863,-0.2805,-0.8829,0.7064,0.3313,0.2422,1.1437,-0.3045,0.1193,-0.2865,-0.5846,0.0724,-0.9707,0.7611,0.4229,2.8129,1.5371,-0.0148,0.3471,1.1203,-0.1516,-0.0039,-0.2246,0.9132,-0.0688,0.0182,0.4067,-0.1925,0.4605,-0.4111,1.0349,-1.2507,-1.1265,-0.7538,0.1384,0.2877,0.0936,1.4258,-0.9311,-0.2201,-0.4149,-0.0034,-0.1039,1.3219,-0.524,-1.0926,2.2422,0.3325,0.3819,2.1497,0.0583,-0.1584,0.1698,-0.6132,0.0661,0.2332,0.7618,0.0092,-0.9006,0.4414,-1.066,1.6973,-0.5698,1.498,0.5427,1.5484,1.9525,0.1752,0.8046,-0.8835,0.5737,1.6347,0.4849,0.3074,1.3897,-0.4757,-0.607,0.8479,0.0917,-0.4879,0.8332,-0.195,2.084,-0.3384,0.8037,-0.1347,DLBCL
0.431,1.039,2.1854,1.6311,0.8085,1.0368,-0.073,2.4516,1.6727,0.7028,0.2727,0.5979,0.4316,1.0415,0.6564,2.2659,0.9794,0.2682,1.3796,0.4114,0.4961,0.6383,1.4557,0.6241,0.3829,0.8096,0.7816,0.7014,-0.1066,0.9982,0.4075,1.4418,0.856,0.0035,1.7011,1.0216,1.9582,0.8825,-0.1385,0.831,1.4589,0.5206,1.4874,1.3967,1.4833,-0.4278,-1.7283,0.7544,1.3629,1.4014,0.7809,1.4211,1.8526,-1.3337,1.3681,1.5054,0.329,1.6676,1.2374,1.7787,0.6383,1.1099,0.5899,0.0117,0.8935,-0.1954,0.6296,0.5538,0.8001,0.4893,0.9217,0.1599,0.3669,-0.0929,2.6837,0.4543,0.9026,0.6156,0.8338,0.6181,1.375,1.3258,0.7985,-0.8762,0.3622,0.8688,0.4471,1.6017,1.0507,0.8718,-0.427,1.3125,0.6535,2.7004,1.5761,0.9402,1.0868,1.0965,0.3694,1.3387,DLBCL
0.4181,1.8786,0.4812,3.5468,3.1864,1.4152,2.3817,0.7998,-0.4892,0.4732,2.2405,0.1261,3.8431,0.3894,1.4268,1.5817,0.5188,0.5097,1.0145,1.0044,3.0636,0.5251,0.2563,0.9008,1.0593,2.389,0.5396,0.3496,0.1396,3.0808,1.6558,2.4709,0.0394,0.2208,1.4601,0.8552,0.398,0.1354,-0.7994,0.8457,0.1543,0.0109,2.5214,-0.5582,0.6268,-1.0649,-1.9777,2.2895,0.58,1.9819,1.1728,2.1552,2.2558,-0.8955,-0.2028,-0.2814,1.8156,0.7838,-0.6097,0.6124,-0.3696,2.771,0.6386,0.3175,1.8671,-0.652,0.0587,0.5423,0.8507,0.9671,1.4255,0.3206,-0.0697,-0.2476,0.6192,-0.658,0.4399,1.1842,0.4829,0.0112,3.423,-0.0489,0.4039,-0.852,0.4218,0.945,0.5481,1.2269,0.7769,-0.6267,-0.5488,-0.2897,1.4385,1.5854,1.3281,1.6081,0.0549,-0.59,-0.407,-0.0012,DLBCL
-1.4711,0.5878,-0.0356,0.3127,1.3866,0.7927,-0.4194,-0.3304,-0.7234,-0.2086,0.6923,0.9795,0.2892,0.2825,-0.0989,-0.4041,-0.0379,-0.4666,-0.0573,0.6182,-0.0959,-0.2343,0.3437,0.2869,0.0005,0.1111,0.0232,0.2884,-0.2099,0.8794,-0.5068,0.4415,0.1787,0.2208,0.6134,1.3005,0.1443,0.3921,-0.5111,-0.0567,0.2417,0.297,1.1491,-0.1544,-0.0399,-0.0761,-1.2175,0.5751,-0.0454,0.4954,0.4279,0.475,-0.2561,-0.1197,-0.3095,0.2692,0.5686,-0.6381,-0.6138,0.0122,-0.1322,0.2505,-0.3183,0.1683,0.3556,0.2512,0.4573,-0.1953,0.6585,1.0822,0.8284,-0.5161,0.7866,0.165,-0.3723,-0.5419,0.1333,0.2584,0.059,-0.374,1.4503,0.185,1.3485,0.175,-0.2019,0.3216,0.3649,0.2161,0.4813,0.0936,2.3977,-0.0814,0.5621,0.3974,0.505,-1.0795,0.077,-0.1293,0.5401,0.863,DLBCL
0.1741,0.4852,-0.2851,0.1235,1.3121,1.1301,2.0213,0.2129,-0.37,0.6174,3.074,1.4346,2.6672,1.5357,2.0032,-0.2407,0.7414,0.7087,1.5612,1.7711,1.1909,2.2982,-0.3802,-0.8565,1.3941,2.952,0.7659,1.5099,0.4335,1.5232,-0.2581,1.185,0.6088,2.1058,1.8772,1.2164,2.4104,1.3576,0.2757,2.3406,-0.0026,-0.2264,-0.128,0.4104,0.0042,0.4947,-1.9331,-0.6162,-0.5375,0.2335,0.7083,2.2746,0.5558,-0.7312,-0.4581,-0.5068,-0.0092,1.6019,-0.5166,0.3406,-0.3115,0.0932,3.0603,-0.0674,0.3851,2.6187,0.7111,-0.4206,2.0458,0.8718,2.4441,0.6398,-0.3618,0.1959,-0.3765,-0.1502,0.2949,1.2276,-0.1,0.1602,1.1168,2.255,0.6055,-0.6836,0.3513,2.2403,1.036,2.9853,0.5798,0.7731,-0.4329,-0.0083,1.4246,0.9975,2.7674,0.4609,1.7926,-0.7022,0.0455,1.4793,DLBCL
0.9691,0.6116,1.8024,1.4245,1.1462,2.8769,0.6039,1.9651,1.8181,0.9047,1.0317,-0.1077,1.1034,0.2634,0.1022,0.8535,1.4757,-0.1812,0.0394,-0.0226,-0.1329,-0.0627,0.8611,1.6217,0.5836,-0.4353,0.8831,0.9346,-0.2443,0.592,1.3208,2.8534,-0.0479,-0.0925,0.4562,0.559,1.0327,-0.2401,-0.5099,0.9321,3.0446,-0.516,1.0919,2.0,1.215,0.342,-1.8725,2.373,1.0459,0.8092,0.2927,0.2597,1.16,-1.0598,1.3883,1.8739,0.5694,0.3594,1.3259,1.5243,-0.074,0.3812,0.7965,-0.5,2.0146,0.5047,0.9299,1.925,0.9326,0.068,0.6092,0.1788,0.2652,0.1299,2.1837,-0.5613,0.5062,0.5895,-0.6987,0.6508,1.2459,1.196,-0.0052,0.6159,0.3242,0.9857,-0.7293,0.7786,0.4639,-0.0008,-0.5229,0.5227,0.711,0.8623,0.7752,2.5367,0.1611,0.8431,-0.2043,1.0254,DLBCL
