34255_at,856_at,33812_at,36499_at,1220_g_at,40077_at,40096_at,37318_at,38635_at,33818_at,38027_at,966_at,37796_at,40991_at,33357_at,38647_at,39458_s_at,37557_at,35560_at,843_at,1614_s_at,31957_r_at,33322_i_at,37632_s_at,41775_at,36988_at,1555_f_at,967_g_at,41633_at,33182_at,404_at,31813_at,35227_at,1138_at,38010_at,41413_at,31788_at,40765_at,36080_at,35492_at,40514_at,41060_at,38721_at,35370_at,40807_at,38622_at,41589_at,37139_at,812_at,39923_at,33147_at,39274_at,AFFX-HSAC07/X00351_M_st,868_at,33149_at,320_at,40698_at,36530_g_at,1668_s_at,31791_at,40618_at,38012_at,32564_at,34233_i_at,39161_at,38702_at,39722_at,32536_at,32706_at,39361_f_at,36696_at,40939_at,628_at,33134_at,452_at,31860_at,37250_at,32402_s_at,1895_at,39076_s_at,36788_at,34859_at,1166_at,1478_at,953_g_at,38118_at,38918_at,39670_at,39674_r_at,993_at,31915_at,283_at,39644_at,37040_at,1119_at,37331_g_at,970_r_at,38772_at,844_at,37873_g_at,class
-0.4959,-0.8556,-0.7576,-0.2377,-1.3466,-0.732,0.094,-0.4829,0.5168,1.0155,-0.525,0.01,-0.1851,0.5009,0.4312,-1.0536,0.6703,-1.2096,-0.1575,1.7195,0.5432,0.2681,-0.5608,-0.1851,-1.6136,-1.148,-0.7663,-1.1332,-1.096,1.296,-1.1558,-0.1247,-1.2384,-0.3586,-0.0759,-1.2837,-0.3296,0.2952,-0.8488,0.2483,-0.8332,2.5703,-1.5826,-0.9564,-0.3165,0.3954,0.0917,-0.5008,-0.3238,-0.0826,0.3134,-0.0272,-0.5141,-1.2365,0.4679,-0.4379,-0.5981,0.5822,1.3627,0.7551,0.8441,-0.1562,0.3008,1.0356,0.6408,1.5433,-1.2504,-0.5185,0.2128,-0.1036,-1.0547,0.0361,0.2761,0.6047,0.1035,-0.6153,-0.8969,0.0875,1.1652,-0.3901,-0.1475,1.4555,-0.1888,-0.6849,0.6766,-0.8301,-0.947,0.344,-0.9562,-0.5547,1.1459,-0.797,1.1777,0.5642,-0.4994,-1.0459,-1.2865,-0.0485,1.0005,0.0349,ALL
1.0192,-1.0947,-0.0594,0.0903,-0.3666,-0.1934,2.1009,0.3489,1.4154,1.9902,0.958,1.9367,-0.9544,-0.37,-0.8593,0.348,-0.0515,-0.4471,-0.9053,0.5854,0.9299,-1.1947,0.3447,0.0397,1.7045,0.0162,0.0038,1.4692,1.4441,-0.3982,-0.8087,-0.1673,1.0615,1.2635,0.0604,0.9105,0.4687,0.482,0.4082,-0.2604,1.0306,1.2369,-0.9081,-0.6187,1.2833,1.0855,0.7233,-0.3107,0.2131,0.1115,1.0288,1.9577,0.213,0.285,-0.1031,0.3349,-0.2509,1.0582,-0.3641,-0.7584,2.1346,1.0299,1.474,0.4478,0.6661,2.4968,0.0928,0.5848,1.5106,-0.6553,1.0449,0.1299,0.3441,2.2373,1.3521,-0.7152,1.6053,0.4388,1.5431,-0.0273,-0.0725,1.1367,1.604,0.168,1.8452,0.7195,-0.2516,0.5047,-0.0586,0.2433,0.5809,1.2124,0.0507,1.6409,1.333,-0.2696,0.9175,0.0371,-0.1078,1.6952,ALL
-0.8416,-0.2762,0.0396,-0.9032,-1.2794,-1.6252,-1.003,0.347,-0.848,-0.6759,1.174,-1.2273,-0.5042,-1.1276,-0.0307,-1.7214,0.4456,-1.6296,0.2304,0.5219,-0.8988,2.6535,-0.9321,2.1473,-1.7005,-0.8149,-0.7453,-1.7506,-1.8064,-1.1168,-0.6466,-0.3613,-1.5027,-0.0009,-0.7696,-0.977,-0.4934,-0.5673,-1.7959,-1.0593,-1.3205,-0.6695,-1.3273,-0.4255,-1.6719,-0.0104,-1.455,0.4236,-0.9513,-0.7258,0.4935,-1.2266,-1.0453,-1.8538,-0.1751,-1.3826,1.4571,-0.2603,0.1345,0.4026,0.4592,-0.6321,-0.7948,3.4942,-0.5872,0.9974,-1.7527,-1.2347,-0.7957,-0.672,-1.2674,0.5782,-0.6516,-0.5859,-1.6046,-0.5287,-1.3326,-0.5812,0.0935,-1.7158,1.0401,-1.4115,-1.1701,0.8582,-1.1934,-1.1228,-0.8339,-0.442,-0.6542,-1.2498,1.5354,-1.6799,-0.0245,-1.9348,-1.8434,-1.8366,-0.5785,0.3584,0.0572,-0.554,ALL
-0.8767,-0.6652,0.6877,-0.8838,-1.6386,1.4086,-1.3852,2.511,-0.478,-1.4762,-0.9886,-0.3897,-1.1306,2.8555,-1.1623,-1.0002,-0.1896,-0.5474,-0.9201,2.7003,-0.8697,0.1835,-0.0433,2.2835,-0.5523,-0.7447,0.1933,-0.6755,-0.3751,-1.1777,-0.0388,-1.5283,-0.1243,1.475,1.8884,0.3104,0.2519,-0.9611,0.4968,-0.7736,-1.2794,-0.6992,-0.8761,0.3806,-1.9645,-1.9677,-0.8018,-0.0788,1.402,-0.9328,-1.0723,-1.4563,-2.125,-0.504,1.0631,-0.7102,1.419,-0.5653,-1.2588,-0.5624,-0.3006,-0.7046,0.4475,-1.4853,-1.6924,-0.4623,-0.1406,1.2381,-0.6635,-1.2961,-1.0097,-0.0361,-1.4069,0.1293,-0.7401,1.0963,-0.3683,-1.0573,-0.0985,-0.9531,-0.0725,-0.9531,-0.6379,-0.379,-0.9126,1.4196,-0.6705,-0.9887,-0.038,-1.5776,-0.8948,-0.2447,-0.6068,-0.0508,-0.7972,-1.8539,1.4218,-2.8696,-0.9887,-1.2966,ALL
2.914,-0.2722,-1.5868,-0.4065,2.0177,0.2572,0.9158,-0.8195,-0.0022,1.684,-0.1836,0.5568,1.5442,-0.613,0.1548,0.8321,-0.5027,0.4737,-0.1679,-1.2418,0.3417,0.1728,-0.218,-1.0727,0.5598,-0.6711,0.6009,0.4128,1.4568,2.1231,-0.5271,1.0614,-0.9762,-0.8838,-0.1801,1.3887,-0.1421,-0.9264,0.1353,-0.695,0.7572,-0.3221,0.7452,-1.1052,0.6355,1.8219,0.7647,-0.7435,0.2746,0.7858,-0.1018,1.2774,1.8021,0.1131,-0.9023,2.1024,-0.1501,2.016,2.1702,-0.3174,-0.3975,-0.3413,-0.5129,0.0887,0.8749,0.2211,0.3434,-0.7228,-1.0234,-0.0894,1.4707,-2.2528,-0.4137,-0.2154,0.2222,-0.3679,0.1739,1.9576,-0.2662,1.6599,-0.0725,0.3622,0.1957,-0.5164,1.2558,0.6318,-0.2558,2.2183,3.772,2.1848,-0.3737,0.0523,-0.156,0.8515,1.3201,0.2825,-0.8612,0.2513,-1.6183,0.9266,ALL
0.7694,0.9757,0.7098,-0.4337,-0.0574,-0.0365,-0.0741,-0.8076,2.2288,0.1635,0.1951,0.6972,-0.538,-0.2938,0.2414,1.2044,-1.0827,-0.2924,-0.0499,-0.6788,0.0272,-0.7651,2.1677,-0.8239,-0.3423,-0.3906,-0.6965,0.3489,0.5499,0.5884,-0.2275,0.9996,-0.3633,0.0214,-0.162,-0.5242,-0.314,0.0675,-0.2917,1.979,-0.3301,1.1945,0.0077,0.972,-0.5863,0.5365,0.5253,-1.8102,-0.6017,0.2495,-0.1368,-0.3991,-0.5402,0.2749,-0.0081,0.5946,-0.8592,-0.8502,0.0469,0.6552,-0.691,0.0439,0.1959,-0.1926,0.5355,-1.4005,-1.0126,-0.6935,-1.1115,0.6179,0.951,-0.5592,0.6285,0.1442,-0.6175,-0.3765,0.2556,0.469,-0.978,-0.877,-0.3869,2.0719,0.268,-0.5194,0.9345,-0.2868,0.1003,0.4591,-0.5259,-0.3912,-0.6864,0.1319,0.802,-0.1673,0.3923,-0.365,-0.7821,-0.3147,-0.0875,0.1274,ALL
1.0476,0.7934,-0.4171,-0.0495,0.9419,-0.3569,-0.2661,-0.7109,-0.5797,0.2356,-0.6296,0.0364,0.0003,-0.1747,-0.2347,0.6154,-0.0239,0.3543,-0.2121,-0.9776,0.0214,0.9639,-0.7594,-0.5705,-1.1841,0.3493,-0.2258,-0.5853,0.3173,-0.2277,-0.7035,0.8997,-1.4722,-1.1227,1.9479,0.5381,-0.4069,0.1785,-0.7248,-0.4094,0.4725,-0.3582,1.1189,-0.8572,0.7316,-0.0858,0.5903,0.0835,-0.7986,-0.0484,0.1133,0.4696,-0.3661,-0.0966,-0.637,-1.3593,-0.9762,-0.0126,-0.1816,0.478,-0.031,-0.5103,-0.987,-0.0789,2.5546,-0.775,-0.3919,-1.7202,-0.5753,-0.4889,0.5383,-0.2852,2.9435,-1.2842,-0.2411,-0.9981,-0.4618,0.1781,-1.0451,-0.4202,-0.266,1.475,-0.5226,-0.1333,1.7349,-0.5233,-0.4108,-0.1155,0.2187,0.8196,-0.2091,-0.1174,-0.2687,0.0418,-0.2515,-0.6888,0.1216,0.3278,-0.3439,1.1812,ALL
-0.3012,-0.5193,-0.887,0.6801,-0.1887,0.087,0.3916,-0.6776,-0.1559,0.3905,0.3157,-0.5446,1.626,0.1207,1.744,1.109,0.7495,0.765,-0.6399,-1.1169,0.6212,-0.937,-0.9524,-0.9554,0.3153,2.1762,-1.2735,-0.0326,1.1815,-0.3738,1.3825,0.5617,-0.4107,-0.3155,-0.418,0.7457,0.8371,0.071,-0.0649,-0.6288,0.4079,0.11,0.3592,0.7717,1.2163,-0.4131,0.6317,0.7792,-0.0995,0.469,-0.457,-0.5301,0.718,0.382,-0.2144,-0.2276,-0.7081,-0.6655,-0.0643,0.1727,-0.1189,3.5377,0.3416,-0.7671,0.6312,-0.6268,0.2831,0.1464,-0.7002,0.4265,-0.1429,-0.1357,-0.3769,-0.9415,0.3596,0.1723,-0.5986,-1.1706,-0.7281,-0.0157,2.2978,0.7305,1.1784,2.0983,0.1461,0.5654,-0.6705,-0.933,-0.418,0.8682,-0.9607,0.4362,-0.1184,0.7003,0.7717,-0.2118,0.7099,0.4043,0.2298,0.5753,ALL
-0.8291,-0.7462,-0.4336,1.1846,-0.2685,-1.0578,-1.207,-0.9433,-0.9711,-1.365,-0.6661,-0.8763,1.4045,-0.9084,-0.4202,-0.7331,0.5285,0.2884,1.3661,-0.6554,1.3667,1.4795,-0.217,-0.2372,-0.7073,-0.3836,0.3713,0.4711,-0.5161,1.0634,-0.3678,0.4705,-0.8319,-0.1589,-0.1568,-0.6086,-0.0887,-0.4563,0.9068,0.998,-1.0096,-0.9724,-0.3562,-0.3588,0.0928,-0.9449,0.8652,-0.6508,-0.3999,-0.6098,-0.462,-1.4904,-0.4009,-0.4926,-0.8172,-0.4373,-1.034,-0.1658,-0.2676,-0.3965,-1.0125,-0.4687,-0.9378,1.3456,-0.4392,-0.7607,0.7123,-1.2799,0.4676,-0.7053,0.3811,-1.3977,-0.8428,-0.9187,-1.1258,-1.2725,-0.4751,-0.1354,-0.9163,-0.6071,-1.4027,-1.1829,-0.3851,-0.1421,-1.1423,-0.3615,0.0752,-0.7229,-0.8494,-0.793,-0.5986,-0.3772,0.2385,-0.5688,-0.9325,-0.154,-0.2795,0.0066,0.1892,-0.6789,ALL
-0.451,0.4206,-0.6053,-0.9459,0.8555,1.9794,1.2355,0.1984,1.1697,0.4244,-0.5623,0.7093,0.2157,0.2446,-1.1746,0.5744,1.2374,0.978,-0.0204,-0.0066,0.627,-1.3276,-0.4872,0.19,1.1864,3.1089,0.5779,1.3225,0.0308,0.4544,1.3996,0.544,1.3458,0.8331,-1.4341,-0.3032,0.9493,1.0562,0.0455,-0.1486,1.1363,-0.3709,0.0802,1.9403,-0.153,-0.3226,1.2199,1.1116,0.7153,0.5067,1.6691,-0.1137,-0.7971,0.9894,0.7716,-0.1743,0.5116,-0.6397,-0.4694,-0.6529,0.617,-0.5904,1.7984,-0.2584,-0.8047,0.805,0.8072,1.01,0.0857,3.1562,1.1213,0.3624,0.0792,2.427,-0.7812,1.227,2.0324,-0.6266,-0.6367,-0.0898,-1.3544,-0.6618,0.5526,-0.224,-0.5552,1.5427,3.2422,0.4794,1.3124,-0.0253,0.9265,-0.6819,1.0274,1.0519,1.9572,-0.498,0.9207,1.0163,1.7987,-0.8039,ALL
